REGISTRATION_ID,YEAR_PASSED,PERCENTAGE,DEGREE_NAME
1,01/01/01,90,MD
2,01/01/95,89,MD
3,01/01/92,91,MD
4,01/01/00,92,MD
5,01/01/95,93,MD
6,01/01/97,94,MD
7,01/01/03,91,MD
8,01/01/08,93,MD
9,01/01/95,92,MD
10,01/01/00,98,MD
11,01/01/05,99,MD
12,01/01/06,97,MD
13,01/01/96,96,MD
14,01/01/91,97,MD
15,01/01/89,96,MD
16,01/01/00,97,MD
17,01/01/90,99,MD
18,01/01/92,92,MD
19,01/01/95,91,MD
20,01/01/00,93,MD
21,01/01/10,94,MD
22,01/01/01,96,MD
23,01/01/03,97,MD
24,01/01/02,98,MD
25,01/01/10,96,MD
26,01/01/11,96,MD
27,01/01/01,95,MD
28,01/01/11,95,MD
29,01/01/97,94,MD
30,01/01/02,94,MD
