REGISTRATION_ID,HOUSE_NUMBER,CITY,STATE,ZIP,COUNTRY,TYPE
1,222,San Francisco,CA,95038,USA,Office
2,333,San Jose,CA,94506,USA,Office
3,444,Chicago,IL,60602,USA,Office
4,555,Naperville,IL,60565,USA,Office
5,666,Aurora,IL,60506,USA,Office
6,777,Bloomington,MN,55438,USA,Office
7,888,Minneapolis,MN,55421,USA,Office
8,999,Des Moines,IA,50226,USA,Office
9,1111,West Des Moines,IA,50231,USA,Office
10,2222,New York,NY,20231,USA,Office
11,3333,Cupertino,CA,96001,USA,Office
12,4444,Glen View,IL,60564,USA,Office
13,5555,Schaumburg,IL,60617,USA,Office
14,6666,Los Angeles,CA,95363,USA,Office
15,7777,New Jersey,NY,27871,USA,Office
16,8888,St Louis,MS,39399,USA,Office
17,9999,Salt Lake City,UT,45202,USA,Office
18,2345,San Jose,CA,96373,USA,Office
19,3456,Cupertino,CA,97373,USA,Office
20,2365,Chicago,IL,60603,USA,Office
21,67867,Naperville,IL,60564,USA,Office
22,2386,Aurora,IL,60506,USA,Office
23,2875,Eden Prairie,MN,55439,USA,Office
24,2654,Roseville,MN,55652,USA,Office
25,2456,LibertyVille,IL,60272,USA,Office
26,2876,Lombard,IL,60272,USA,Office
27,2764,BollingBorrk,IL,60563,USA,Office
28,2456,NorthBrook,IL,60272,USA,Office
29,26543,Evanston,IL,60282,USA,Office
30,27876,Addison,IL,60298,USA,Office
